Population,Longitude,Latitude,Country,TotalPositiveCases,TotalDeaths,PositiveCasesPerMillion,DeathsPerMillion,Continent
126529100,139.2394179,36.5748441,Japan,25096,985,198.34172534223353,7.784770459917916,Asia
106800,-2.1255999596428845,49.21230655,Jersey,331,31,3099.250936329588,290.2621722846442,Europe
9956011,36.941628,31.1667049,Jordan,1223,11,122.84036247047135,1.10486016939917,Asia
18272430,65.20931970000001,47.2286086,Kazakhstan,73468,585,4020.7022273446937,32.01544622143852,Asia
51393010,38.431397499999996,1.4419683,Kenya,13771,238,267.9547276954589,4.630979971789938,Africa
1845300,20.902123100000004,42.5869578,Kosovo,5877,139,3184.847992196391,75.32650517531025,Europe
4137309,47.4979476,29.2733964,Kuwait,59763,408,14444.896429055698,98.61482427345891,Asia
6519506,74.724091,41.5089324,Kyrgyzstan,28251,1079,4333.303780991995,165.5033372160406,Asia
7275560,103.378253,20.0171109,Laos,19,0,2.6114828274387127,0.0,Asia
1927174,24.7537645,56.8406494,Latvia,1192,31,618.5222507152961,16.085729674642767,Europe
6848925,35.843409,33.875062899999996,Lebanon,2905,41,424.1541555791602,5.986340922115515,Asia
2108132,28.335019300000003,-29.6039267,Lesotho,359,6,170.29294180819798,2.846121590109158,Africa
4818977,-9.3658524,5.7499721,Liberia,1107,70,229.7168050397418,14.525904564391986,Africa
6678567,18.1236723,26.8234472,Libya,1960,49,293.4761304333699,7.336903260834248,Africa
37910,9.553152699999998,47.1416307,Liechtenstein,87,1,2294.9089949881295,26.378264310208387,Europe
2801543,23.7499997,55.350000300000005,Lithuania,1947,80,694.9741624526198,28.555692345254027,Europe
607950,6.1296751,49.8158683,Luxembourg,5605,111,9219.508183238753,182.5808043424624,Europe
26262368,46.441642200000004,-18.9249604,Madagascar,7153,62,272.3669091835131,2.3607924464389503,Africa
18143315,33.9301963,-13.2687204,Malawi,3045,64,167.83041026405593,3.527470035106594,Africa
31528585,102.2656823,4.5693754,Malaysia,8800,123,279.1117964856336,3.901221700878742,Asia
515696,73.3287853,4.7064352,Maldives,2966,15,5751.450466941764,29.08690391238249,Asia
19077690,-2.2900238999999996,16.3700359,Mali,2475,121,129.73268776251214,6.34248695727837,Africa
484630,14.4476911,35.888599299999996,Malta,677,9,1396.9419969873925,18.57086849761674,Europe
4403319,-9.2399263,20.254038199999997,Mauritania,5923,155,1345.1217138708323,35.200720184024824,Africa
1265303,57.5703566,-20.2759451,Mauritius,343,10,271.0813141200171,7.90324530962149,Africa
